Labrador Sea,Exp 303,Sites U1302-03
units: meters,units: n/a
sampling splice,magnetic susceptibility
0.03,0.2878
0.04,0.33403
0.05,0.38695
0.06,0.44176
0.07,0.47379
0.08,0.48347
0.09,0.48359
0.1,0.49334
0.11,0.52021
0.12,0.53582
0.13,0.53984
0.14,0.5435
0.15,0.55488
0.16,0.57009
0.17,0.57897
0.18,0.56686
0.19,0.55145
0.2,0.56601
0.21,0.59634
0.22,0.62699
0.23,0.65052
0.24,0.66498
0.25,0.67928
0.26,0.69071
0.27,0.69802
0.28,0.70637
0.29,0.71708
0.3,0.72796
0.31,0.73375
0.32,0.7312
0.33,0.72321
0.34,0.71069
0.35,0.69478
0.36,0.67966
0.37,0.66176
0.38,0.63826
0.39,0.61929
0.4,0.60204
0.41,0.58006
0.42,0.55612
0.43,0.53873
0.44,0.53523
0.45,0.53718
0.46,0.53531
0.47,0.52847
0.48,0.51898
0.49,0.50617
0.5,0.50065
0.51,0.4997
0.52,0.50877
0.53,0.51584
0.54,0.52661
0.55,0.533
0.56,0.53809
0.57,0.54465
0.58,0.55554
0.59,0.56485
0.6,0.57063
0.61,0.57254
0.62,0.57221
0.63,0.57823
0.64,0.59442
0.65,0.61907
0.66,0.63926
0.67,0.63655
0.68,0.64444
0.69,0.68198
0.7,0.70459
0.71,0.70217
0.72,0.68692
0.73,0.67629
0.74,0.67249
0.75,0.67074
0.76,0.66887
0.77,0.66918
0.78,0.67396
0.79,0.67951
0.8,0.68499
0.81,0.69585
0.82,0.71893
0.83,0.74463
0.84,0.77193
0.85,0.80371
0.86,0.82958
0.87,0.84497
0.88,0.8526
0.89,0.8571
0.9,0.8593
0.91,0.85752
0.92,0.85418
0.93,0.85485
0.94,0.85694
0.95,0.85782
0.96,0.86004
0.97,0.86642
0.98,0.87793
0.99,0.88604
1,0.8881